1,234.816,,CustomerID,Max of INVOICE DATE,Count of InvoiceNo,Sum of Total sales,days since,days_sincetoday,RSCORE,F SCORE,M SCORE,RFM SCORE,,,,,,,,
2,465.602,,12346,40561,1,77183.6,325,4853,1,4,4,144,,,,,,,,
3,909.668,,12347,40884,182,4310,2,4530,4,1,4,414,,,,,NOTE:,,,
4,2003.56,,12348,40811,31,1797.24,75,4603,2,3,4,234,,,,,,,,
5,279489.02,,12349,40868,73,1757.55,18,4546,3,2,4,324,,,,,,,,
,RECENCY,,12350,40576,17,334.4,310,4838,1,3,2,132,,,,,,,,
1,40886,,12352,40850,95,1545.41,36,4564,3,2,3,323,,,,,Assuming,,,
2,184,,12353,40682,4,89,204,4732,1,4,1,141,,,,,4-BEST,1-WORST,,
3,72,,12354,40654,58,1079.4,232,4760,1,2,3,123,,,,,,,,
4,32.4,,12355,40672,13,459.4,214,4742,1,4,2,142,,,,,,rece,freq,monet
5,14,,12356,40864,59,2811.43,22,4550,3,2,4,324,,,,,min,0,1,-4287.63
,FREQUENCY,,12357,40853,131,6207.67,33,4561,3,1,4,314,,,,,q1,17,17,293.6175
1,14,,12358,40885,19,1168.06,1,4529,4,3,3,433,,,,,q2,51,42,648.55
2,29,,12359,40829,254,6245.53,57,4585,2,1,4,214,,,,,q3,147,102,1612.625
3,58.2,,12360,40834,129,2662.06,52,4580,2,1,4,214,,,,,max,40886,7983,279489.02
4,124,,12361,40599,10,189.9,287,4815,1,4,1,141,,,,,,,,
5,135079,,12362,40883,274,5154.58,3,4531,4,1,4,414,,,,,,,,
,,,12363,40777,23,552,109,4637,2,3,2,232,,,,,,,,
,,,12364,40879,85,1313.1,7,4535,4,2,3,423,,,,,,,,
,,,12365,40595,23,320.69,291,4819,1,3,2,132,,,,,,,,
,,,12367,40882,11,168.9,4,4532,4,4,1,441,,,,,,,,
,,,12370,40835,167,3545.69,51,4579,2,1,4,214,,,,,,,,
,,,12371,40842,63,1887.96,44,4572,3,2,4,324,,,,,,,,
,,,12372,40815,52,1298.04,71,4599,2,2,3,223,,,,,,,,
,,,12373,40575,14,364.6,311,4839,1,4,2,142,,,,,,,,
,,,12374,40861,33,742.93,25,4553,3,3,3,333,,,,,,,,
,,,12375,40876,18,455.42,10,4538,4,3,2,432,,,,,,,,
,,,12377,40571,77,1628.12,315,4843,1,2,4,124,,,,,,,,
,,,12378,40757,219,4008.62,129,4657,2,1,4,214,,,,,,,,
,,,12379,40805,41,850.29,81,4609,2,3,3,233,,,,,,,,
,,,12380,40865,105,2720.56,21,4549,3,1,4,314,,,,,,,,
,,,12381,40882,91,1803.96,4,4532,4,2,4,424,,,,,,,,
,,,12383,40702,100,1839.31,184,4712,1,2,4,124,,,,,,,,
,,,12384,40858,30,566.16,28,4556,3,3,2,332,,,,,,,,
,,,12386,40549,10,401.9,337,4865,1,4,2,142,,,,,,,,
,,,12388,40871,100,2780.66,15,4543,4,2,4,424,,,,,,,,
,,,12390,40807,32,549.84,79,4607,2,3,2,232,,,,,,,,
,,,12391,40865,100,460.89,21,4549,3,2,2,322,,,,,,,,
,,,12393,40814,64,1582.6,72,4600,2,2,3,223,,,,,,,,
,,,12394,40823,27,1272.48,63,4591,2,3,3,233,,,,,,,,
,,,12395,40867,159,2998.28,19,4547,3,1,4,314,,,,,,,,
,,,12397,40851,126,2409.9,35,4563,3,1,4,314,,,,,,,,
,,,12398,40841,85,1635.66,45,4573,3,2,4,324,,,,,,,,
,,,12399,40767,59,1108.65,119,4647,2,2,3,223,,,,,,,,
,,,12401,40583,5,84.3,303,4831,1,4,1,141,,,,,,,,
,,,12402,40563,11,225.6,323,4851,1,4,1,141,,,,,,,,
,,,12403,40837,6,409.7,49,4577,3,4,2,342,,,,,,,,
,,,12405,40738,54,1710.39,148,4676,1,2,4,124,,,,,,,,
,,,12406,40864,108,3280.75,22,4550,3,1,4,314,,,,,,,,
,,,12407,40837,77,1708.12,49,4577,3,2,4,324,,,,,,,,
,,,12408,40854,113,2842.57,32,4560,3,1,4,314,,,,,,,,
,,,12409,40808,114,11056.93,78,4606,2,1,4,214,,,,,,,,
,,,12410,40578,28,681.08,308,4836,1,3,3,133,,,,,,,,
,,,12412,40812,61,1226.88,74,4602,2,2,3,223,,,,,,,,
,,,12413,40820,40,694.15,66,4594,2,3,3,233,,,,,,,,
,,,12414,40669,18,562.41,217,4745,1,3,2,132,,,,,,,,
,,,12415,40862,778,123725.45,24,4552,3,1,4,314,,,,,,,,
,,,12417,40883,198,3578.8,3,4531,4,1,4,414,,,,,,,,
,,,12418,40774,34,668.58,112,4640,2,3,3,233,,,,,,,,
,,,12420,40823,29,600.39,63,4591,2,3,2,232,,,,,,,,
,,,12421,40871,46,806.27,15,4543,4,2,3,423,,,,,,,,
,,,12422,40791,39,803.56,95,4623,2,3,3,233,,,,,,,,
,,,12423,40886,126,1849.11,0,4528,4,1,4,414,,,,,,,,
,,,12424,40724,30,1760.96,162,4690,1,3,4,134,,,,,,,,
,,,12425,40808,36,777.2,78,4606,2,3,3,233,,,,,,,,
,,,12426,40692,30,582.73,194,4722,1,3,2,132,,,,,,,,
,,,12427,40865,35,708.37,21,4549,3,3,3,333,,,,,,,,
,,,12428,40861,300,7877.2,25,4553,3,1,4,314,,,,,,,,
,,,12429,40877,97,3750.4,9,4537,4,2,4,424,,,,,,,,
,,,12430,40843,11,256.4,43,4571,3,4,1,341,,,,,,,,
,,,12431,40851,240,6416.39,35,4563,3,1,4,314,,,,,,,,
,,,12432,40844,108,5059.32,42,4570,3,1,4,314,,,,,,,,
,,,12433,40886,420,13375.87,0,4528,4,1,4,414,,,,,,,,
,,,12434,40802,54,765.19,84,4612,2,2,3,223,,,,,,,,
,,,12435,40807,36,7829.89,79,4607,2,3,4,234,,,,,,,,
,,,12436,40787,16,509.01,99,4627,2,4,2,242,,,,,,,,
,,,12437,40885,201,4896.66,1,4529,4,1,4,414,,,,,,,,
,,,12438,40872,98,2906.85,14,4542,4,2,4,424,,,,,,,,
,,,12441,40520,11,173.55,366,4894,1,4,1,141,,,,,,,,
,,,12442,40883,12,172.06,3,4531,4,4,1,441,,,,,,,,
,,,12444,40865,177,5005.46,21,4549,3,1,4,314,,,,,,,,
,,,12445,40864,4,133.4,22,4550,3,4,1,341,,,,,,,,
,,,12446,40829,58,1002.31,57,4585,2,2,3,223,,,,,,,,
,,,12447,40643,26,476.49,243,4771,1,3,2,132,,,,,,,,
,,,12448,40842,22,449.45,44,4572,3,3,2,332,,,,,,,,
,,,12449,40864,191,4067.29,22,4550,3,1,4,314,,,,,,,,
,,,12450,40730,8,197.88,156,4684,1,4,1,141,,,,,,,,
,,,12451,40876,355,8933.52,10,4538,4,1,4,414,,,,,,,,
,,,12452,40870,23,428.57,16,4544,4,3,2,432,,,,,,,,
,,,12453,40752,43,707.09,134,4662,2,2,3,223,,,,,,,,
,,,12454,40830,30,-1.14E-13,56,4584,2,3,1,231,,,,,,,,
,,,12455,40813,90,2466.86,73,4601,2,2,4,224,,,,,,,,
,,,12456,40842,129,3153.89,44,4572,3,1,4,314,,,,,,,,
,,,12457,40820,68,1917.78,66,4594,2,2,4,224,,,,,,,,
,,,12458,40815,38,947.4,71,4599,2,3,3,233,,,,,,,,
,,,12461,40792,35,826.88,94,4622,2,3,3,233,,,,,,,,
,,,12462,40868,72,1124.01,18,4546,3,2,3,323,,,,,,,,
,,,12463,40833,88,1303.63,53,4581,2,2,3,223,,,,,,,,
,,,12464,40876,29,1212.05,10,4538,4,3,3,433,,,,,,,,
,,,12465,40869,51,733.89,17,4545,3,2,3,323,,,,,,,,
,,,12468,40699,40,724.04,187,4715,1,3,3,133,,,,,,,,
,,,12471,40884,531,18740.92,2,4530,4,1,4,414,,,,,,,,
,,,12472,40854,391,6229.48,32,4560,3,1,4,314,,,,,,,,
,,,12473,40857,179,2848.23,29,4557,3,1,4,314,,,,,,,,
,,,12474,40869,457,7116.47,17,4545,3,1,4,314,,,,,,,,
,,,12475,40833,36,723.38,53,4581,2,3,3,233,,,,,,,,
,,,12476,40871,264,6546.58,15,4543,4,1,4,414,,,,,,,,
,,,12477,40864,308,13117.01,22,4550,3,1,4,314,,,,,,,,
,,,12478,40883,36,680.99,3,4531,4,3,3,433,,,,,,,,
,,,12479,40875,35,477.3,11,4539,4,3,2,432,,,,,,,,
,,,12480,40858,154,3281.63,28,4556,3,1,4,314,,,,,,,,
,,,12481,40864,218,5590.86,22,4550,3,1,4,314,,,,,,,,
,,,12483,40869,81,2327.13,17,4545,3,2,4,324,,,,,,,,
,,,12484,40854,350,4495.27,32,4560,3,1,4,314,,,,,,,,
,,,12488,40877,55,1298.66,9,4537,4,2,3,423,,,,,,,,
,,,12489,40550,15,334.93,336,4864,1,4,2,142,,,,,,,,
,,,12490,40881,245,5417.93,5,4533,4,1,4,414,,,,,,,,
,,,12491,40848,26,460.4,38,4566,3,3,2,332,,,,,,,,
,,,12492,40823,20,263.21,63,4591,2,3,1,231,,,,,,,,
,,,12493,40721,23,416.79,165,4693,1,3,2,132,,,,,,,,
,,,12494,40871,84,1139.35,15,4543,4,2,3,423,,,,,,,,
,,,12497,40805,14,1043.1,81,4609,2,4,3,243,,,,,,,,
,,,12498,40865,23,403.7,21,4549,3,3,2,332,,,,,,,,
,,,12500,40863,65,4206.27,23,4551,3,2,4,324,,,,,,,,
